Base Weather Station Churchtown	Temperature (*F)	Soil Moist-VWC (%VWC)	PAR Light (uM/m^2s)	Bar.Pressure (In-Hg)	RH (%)	Temperature (*F)	Rainfall (In)	Wind Dir (Deg)	Wind Gust (mph)	Wind Speed (mph)	Dew Point (*F)
2022-05-14 23:00	65.7	9.8	0.0	29.83	83.7	67.8	0.00	179	7	2	62.7
2022-05-14 23:10	65.5	9.8	0.0	29.83	84.3	67.5	0.00	177	6	2	62.6
2022-05-14 23:20	65.5	9.9	0.0	29.83	84.6	67.3	0.00	183	6	2	62.5
2022-05-14 23:30	65.5	9.8	0.0	29.83	84.1	67.3	0.00	189	6	4	62.3
2022-05-14 23:40	65.3	9.9	0.0	29.83	85.4	66.7	0.00	182	4	2	62.2
2022-05-14 23:50	65.3	9.9	0.0	29.82	87.3	66.0	0.00	175	6	2	62.1
2022-05-15 00:00	65.1	9.8	0.0	29.82	87.3	66.0	0.00	177	5	2	62.1
2022-05-15 00:10	65.1	9.7	0.0	29.82	87.8	65.8	0.00	177	4	2	62.1
2022-05-15 00:20	65.1	9.7	0.0	29.82	87.6	65.8	0.00	173	4	2	62.1
2022-05-15 00:30	65.1	9.8	0.0	29.82	87.0	66.0	0.00	175	6	4	62.0
2022-05-15 00:40	64.9	9.7	0.0	29.82	86.3	66.2	0.00	183	9	5	62.0
2022-05-15 00:50	64.9	9.8	0.0	29.82	87.1	66.0	0.00	184	7	5	62.1
2022-05-15 01:00	64.9	9.7	0.0	29.81	88.0	65.8	0.00	187	7	4	62.2
2022-05-15 01:10	64.8	9.8	0.0	29.81	88.4	65.7	0.00	183	7	4	62.1
2022-05-15 01:20	64.8	9.7	0.0	29.81	90.6	65.1	0.00	189	7	4	62.3
2022-05-15 01:30	64.8	9.7	0.0	29.80	92.0	64.6	0.00	184	7	2	62.2
2022-05-15 01:40	64.8	9.7	0.0	29.80	90.6	64.8	0.00	175	6	2	61.9
2022-05-15 01:50	64.6	9.7	0.0	29.80	90.0	64.8	0.00	168	6	4	61.8
2022-05-15 02:00	64.6	9.7	0.0	29.80	90.1	64.6	0.00	168	6	4	61.6
2022-05-15 02:10	64.6	9.7	0.0	29.79	90.0	64.6	0.00	172	9	5	61.6
2022-05-15 02:20	64.6	9.7	0.0	29.79	90.1	64.6	0.00	179	7	4	61.6
2022-05-15 02:30	64.4	9.7	0.0	29.78	90.5	64.2	0.00	184	5	2	61.4
2022-05-15 02:40	64.4	9.7	0.0	29.78	90.6	64.2	0.00	189	4	2	61.4
2022-05-15 02:50	64.2	9.7	0.0	29.78	90.8	64.2	0.00	190	6	2	61.5
2022-05-15 03:00	64.2	9.7	0.0	29.77	91.1	64.0	0.00	196	5	2	61.4
2022-05-15 03:10	64.2	9.7	0.0	29.77	91.8	64.0	0.00	193	4	2	61.6
2022-05-15 03:20	64.2	9.7	0.0	29.77	92.4	63.9	0.00	189	4	1	61.6
2022-05-15 03:30	64.0	9.7	0.0	29.77	93.1	63.7	0.00	193	4	2	61.6
2022-05-15 03:40	64.0	9.7	0.0	29.77	93.5	63.7	0.00	194	2	1	61.8
2022-05-15 03:50	64.0	9.7	0.0	29.77	94.1	63.5	0.00	199	2	1	61.8
2022-05-15 04:00	64.0	9.7	0.0	29.77	94.7	63.3	0.00	200	2	1	61.8
2022-05-15 04:10	63.9	9.7	0.0	29.77	95.1	63.1	0.00	203	2	0	61.7
2022-05-15 04:20	63.9	9.7	0.0	29.76	95.6	63.1	0.00	204	2	0	61.9
2022-05-15 04:30	63.9	9.7	0.0	29.76	96.0	63.1	0.00	204	2	0	62.0
2022-05-15 04:40	63.9	9.7	0.0	29.76	96.1	63.1	0.00	204	2	0	62.0
2022-05-15 04:50	63.9	9.7	0.0	29.76	96.4	63.3	0.00	204	2	0	62.3
2022-05-15 05:00	63.7	9.7	0.0	29.76	96.8	63.1	0.00	187	2	1	62.2
2022-05-15 05:10	63.7	9.7	0.0	29.76	97.4	63.0	0.00	177	1	0	62.2
2022-05-15 05:20	63.7	9.7	0.0	29.76	97.9	63.0	0.00	177	2	1	62.4
2022-05-15 05:30	63.7	9.7	0.0	29.76	98.6	62.8	0.00	177	2	1	62.4
2022-05-15 05:40	63.7	9.9	0.0	29.76	99.2	62.8	0.01	182	5	1	62.6
2022-05-15 05:50	63.7	9.8	0.0	29.76	99.6	62.8	0.00	184	5	2	62.7
2022-05-15 06:00	63.5	9.9	10.0	29.75	99.8	62.8	0.01	179	5	2	62.7
2022-05-15 06:10	63.5	9.9	19.0	29.76	99.8	62.8	0.00	176	5	2	62.7
2022-05-15 06:20	63.5	10.0	51.0	29.76	99.8	63.0	0.00	177	4	2	62.9
2022-05-15 06:30	63.5	10.0	79.0	29.76	99.8	63.1	0.00	193	4	1	63.1
2022-05-15 06:40	63.3	9.9	101.0	29.76	99.8	63.3	0.00	186	2	1	63.3
2022-05-15 06:50	63.3	9.9	155.0	29.77	99.6	63.5	0.00	169	2	1	63.4
2022-05-15 07:00	63.3	9.9	290.0	29.77	99.0	64.0	0.00	169	2	2	63.8
2022-05-15 07:10	63.3	9.8	397.0	29.77	97.9	64.8	0.00	180	4	2	64.2
2022-05-15 07:20	63.3	9.9	429.0	29.78	97.1	65.1	0.00	182	6	2	64.3
2022-05-15 07:30	63.3	9.9	403.0	29.78	96.4	65.5	0.00	186	5	2	64.4
2022-05-15 07:40	63.3	9.8	478.0	29.78	95.9	66.0	0.00	200	6	2	64.8
2022-05-15 07:50	63.5	9.8	518.0	29.78	95.3	66.0	0.00	211	7	4	64.6
2022-05-15 08:00	63.5	9.9	479.0	29.78	95.3	66.0	0.00	206	5	2	64.6
2022-05-15 08:10	63.5	9.9	408.0	29.78	95.3	65.8	0.00	208	7	2	64.5
2022-05-15 08:20	63.7	9.9	364.0	29.78	95.3	65.8	0.00	216	7	4	64.5
2022-05-15 08:30	63.7	9.9	415.0	29.77	95.4	65.8	0.00	217	7	5	64.5
2022-05-15 08:40	63.7	9.9	423.0	29.77	95.3	66.0	0.00	204	7	2	64.6
2022-05-15 08:50	63.7	9.9	386.0	29.77	95.1	66.0	0.00	207	9	5	64.6
2022-05-15 09:00	63.7	9.9	621.0	29.77	94.5	66.6	0.00	201	7	4	64.9
2022-05-15 09:10	63.7	10.0	795.0	29.78	93.3	67.5	0.00	199	9	4	65.5
2022-05-15 09:20	63.9	9.9	859.0	29.78	91.5	68.2	0.00	193	7	2	65.6
2022-05-15 09:30	63.9	9.9	1319.0	29.78	89.5	69.8	0.00	217	6	4	66.6
2022-05-15 09:40	63.9	9.9	1034.0	29.79	88.1	69.6	0.00	213	9	5	65.9
2022-05-15 09:50	63.9	9.9	910.0	29.78	87.8	69.6	0.00	214	7	5	65.8
2022-05-15 10:00	64.0	9.8	1110.0	29.78	87.3	69.8	0.00	224	7	5	65.9
2022-05-15 10:10	64.2	9.8	1490.0	29.79	84.8	71.6	0.00	217	11	6	66.8
2022-05-15 10:20	64.2	9.8	1224.0	29.79	84.5	71.4	0.00	214	10	5	66.5
2022-05-15 10:30	64.4	9.8	1123.0	29.78	84.0	71.6	0.00	196	11	6	66.5
2022-05-15 10:40	64.6	9.8	1416.0	29.79	82.3	72.9	0.00	201	10	5	67.1
2022-05-15 10:50	64.6	9.8	1337.0	29.79	81.1	72.7	0.00	214	9	6	66.5
2022-05-15 11:00	64.8	9.8	1414.0	29.79	80.4	72.9	0.00	220	9	6	66.5
2022-05-15 11:10	64.9	9.9	1862.0	29.79	78.1	73.9	0.00	211	12	7	66.7
2022-05-15 11:20	65.1	9.8	1631.0	29.79	78.6	73.6	0.00	220	11	7	66.5
2022-05-15 11:30	65.3	9.8	1953.0	29.79	76.7	74.7	0.00	216	11	6	66.9
2022-05-15 11:40	65.5	9.8	2050.0	29.79	76.1	75.4	0.00	186	10	6	67.3
2022-05-15 11:50	65.7	9.8	2137.0	29.79	72.9	76.5	0.00	193	9	6	67.1
2022-05-15 12:00	65.8	9.7	1848.0	29.79	71.7	76.6	0.00	208	9	5	66.8
2022-05-15 12:10	66.0	9.7	2367.0	29.79	69.4	77.7	0.00	186	12	7	66.9
2022-05-15 12:20	66.2	9.7	2345.0	29.79	66.4	78.6	0.00	197	10	6	66.5
2022-05-15 12:30	66.4	9.6	1717.0	29.79	66.3	78.1	0.00	221	14	6	65.9
2022-05-15 12:40	66.6	9.6	1027.0	29.77	68.0	77.0	0.00	218	12	7	65.6
2022-05-15 12:50	66.7	9.6	1013.0	29.77	68.4	76.6	0.00	187	11	6	65.5
2022-05-15 13:00	66.9	9.7	991.0	29.76	68.1	77.4	0.00	163	7	5	66.0
2022-05-15 13:10	67.1	9.7	1005.0	29.76	67.2	77.5	0.00	182	11	6	65.8
2022-05-15 13:20	67.3	9.6	1817.0	29.76	63.6	79.5	0.00	207	16	6	66.1
2022-05-15 13:30	67.3	9.7	2157.0	29.76	60.4	81.3	0.00	214	14	6	66.3
2022-05-15 13:40	67.5	9.7	2480.0	29.77	58.9	81.3	0.00	192	12	7	65.6
2022-05-15 13:50	67.5	9.7	2565.0	29.77	59.0	82.0	0.00	176	11	5	66.3
2022-05-15 14:00	67.6	9.7	2380.0	29.76	57.7	82.8	0.00	196	15	7	66.3
2022-05-15 14:10	67.8	9.6	1526.0	29.75	58.8	81.1	0.00	199	12	7	65.4
2022-05-15 14:20	68.0	9.6	2210.0	29.75	56.4	82.9	0.00	216	11	5	65.8
2022-05-15 14:30	68.2	9.5	613.0	29.74	58.8	80.8	0.00	192	12	6	65.0
2022-05-15 14:40	68.4	9.4	994.0	29.73	59.0	80.6	0.00	216	11	4	64.9
2022-05-15 14:50	68.4	9.4	566.0	29.72	60.5	80.1	0.00	187	9	5	65.2
2022-05-15 15:00	68.5	9.4	828.0	29.72	58.6	80.6	0.00	190	9	4	64.7
2022-05-15 15:10	68.5	9.4	860.0	29.72	58.4	81.3	0.00	199	12	5	65.3
2022-05-15 15:20	68.5	9.4	613.0	29.70	59.3	80.4	0.00	216	11	7	64.9
2022-05-15 15:30	68.5	9.4	527.0	29.70	59.9	80.1	0.00	210	11	6	64.9
2022-05-15 15:40	68.5	9.4	763.0	29.69	70.0	77.7	0.00	214	14	7	67.2
2022-05-15 15:50	68.5	9.4	1279.0	29.69	71.6	78.4	0.00	224	7	4	68.5
2022-05-15 16:00	68.5	9.4	726.0	29.69	70.8	78.1	0.00	264	7	2	67.8
2022-05-15 16:10	68.5	9.4	405.0	29.68	72.0	77.4	0.00	235	2	0	67.6
2022-05-15 16:20	68.5	9.4	977.0	29.68	69.6	79.0	0.00	216	4	1	68.2
2022-05-15 16:30	68.5	9.4	709.0	29.69	65.9	80.2	0.00	218	4	2	67.8
2022-05-15 16:40	68.7	9.4	284.0	29.68	68.4	78.8	0.00	217	5	2	67.5
2022-05-15 16:50	68.7	9.3	273.0	29.67	69.5	77.7	0.00	225	6	2	66.9
2022-05-15 17:00	68.7	9.4	98.0	29.67	76.8	75.0	0.00	296	15	6	67.2
2022-05-15 17:10	68.7	9.7	388.0	29.66	89.8	70.0	0.23	299	15	5	66.8
2022-05-15 17:20	68.7	10.5	1326.0	29.67	86.3	74.3	0.00	289	2	1	69.9
2022-05-15 17:30	68.5	10.6	764.0	29.68	83.4	74.5	0.00	330	2	1	69.1
2022-05-15 17:40	68.5	10.9	732.0	29.69	83.8	75.6	0.00	354	0	0	70.3
2022-05-15 17:50	68.7	10.9	989.0	29.71	83.4	76.5	0.00	173	5	1	71.1
2022-05-15 18:00	68.7	11.0	417.0	29.69	88.9	73.6	0.00	217	5	2	70.1
2022-05-15 18:10	68.7	11.3	219.0	29.67	89.5	72.9	0.00	224	2	0	69.6
2022-05-15 18:20	68.7	11.3	178.0	29.66	90.2	71.8	0.00	200	6	2	68.8
2022-05-15 18:30	68.7	11.3	172.0	29.66	90.6	70.5	0.00	203	4	2	67.6
2022-05-15 18:40	68.7	11.4	188.0	29.65	92.2	70.0	0.00	201	2	0	67.6
2022-05-15 18:50	68.7	11.5	156.0	29.65	92.6	69.8	0.00	201	0	0	67.6
2022-05-15 19:00	68.5	11.5	118.0	29.66	93.9	69.6	0.00	201	2	0	67.8
2022-05-15 19:10	68.5	11.5	121.0	29.66	93.5	69.4	0.00	201	1	0	67.5
2022-05-15 19:20	68.5	11.5	91.0	29.66	94.3	69.4	0.00	203	2	0	67.7
2022-05-15 19:30	68.5	11.7	44.0	29.67	96.0	69.1	0.00	210	4	2	67.9
2022-05-15 19:40	68.4	11.8	23.0	29.67	96.0	68.7	0.00	186	7	2	67.5
2022-05-15 19:50	68.4	11.8	13.0	29.66	95.2	68.4	0.00	179	7	4	66.9
2022-05-15 20:00	68.4	11.8	0.0	29.66	94.2	68.2	0.00	190	7	5	66.4
2022-05-15 20:10	68.2	11.8	0.0	29.66	93.3	68.0	0.00	183	7	5	66.0
2022-05-15 20:20	68.2	11.8	0.0	29.66	92.6	67.6	0.00	168	7	4	65.4
2022-05-15 20:30	68.2	11.8	0.0	29.67	93.3	67.3	0.00	196	4	2	65.3
2022-05-15 20:40	68.0	11.8	0.0	29.67	93.6	66.9	0.00	175	4	2	65.0
2022-05-15 20:50	67.8	11.8	0.0	29.68	93.8	66.7	0.00	200	4	2	64.9
2022-05-15 21:00	67.8	11.8	0.0	29.68	93.9	66.6	0.00	197	6	2	64.7
2022-05-15 21:10	67.6	11.8	0.0	29.68	94.7	66.4	0.00	194	7	4	64.8
2022-05-15 21:20	67.6	11.8	0.0	29.69	95.9	65.8	0.00	192	5	2	64.6
2022-05-15 21:30	67.6	11.8	0.0	29.69	96.7	65.7	0.00	186	6	4	64.7
2022-05-15 21:40	67.5	11.8	0.0	29.69	96.9	65.7	0.00	193	6	2	64.8
2022-05-15 21:50	67.5	11.9	0.0	29.69	97.0	65.5	0.00	187	6	4	64.6
2022-05-15 22:00	67.5	11.8	0.0	29.69	97.2	65.5	0.00	193	7	4	64.7
2022-05-15 22:10	67.3	11.9	0.0	29.69	97.4	65.3	0.00	189	6	4	64.5
2022-05-15 22:20	67.3	11.8	0.0	29.68	97.0	65.1	0.00	190	7	4	64.2
2022-05-15 22:30	67.3	11.8	0.0	29.68	97.1	64.9	0.00	192	7	4	64.1
2022-05-15 22:40	67.1	11.8	0.0	29.67	97.1	64.9	0.00	183	7	4	64.1
2022-05-15 22:50	66.9	11.8	0.0	29.66	97.2	64.8	0.00	175	5	2	63.9
2022-05-15 23:00	66.9	11.8	0.0	29.66	96.7	64.8	0.00	190	5	2	63.8
2022-05-15 23:10	66.9	11.8	0.0	29.66	96.1	64.9	0.00	196	5	2	63.8
2022-05-15 23:20	66.7	11.8	0.0	29.66	95.9	64.9	0.00	186	5	2	63.7
2022-05-15 23:30	66.7	11.8	0.0	29.66	95.8	64.6	0.00	180	6	2	63.4
2022-05-15 23:40	66.7	11.8	0.0	29.65	95.5	64.6	0.00	183	7	2	63.3
2022-05-15 23:50	66.6	11.9	0.0	29.66	95.3	64.6	0.00	187	6	2	63.2
2022-05-16 00:00	66.6	11.8	0.0	29.65	95.7	64.2	0.00	184	7	2	63.0
2022-05-16 00:10	66.6	11.8	0.0	29.65	95.9	64.0	0.00	186	6	2	62.8
2022-05-16 00:20	66.4	11.8	0.0	29.65	96.3	63.9	0.00	189	5	2	62.8
2022-05-16 00:30	66.4	11.9	0.0	29.66	96.3	63.9	0.00	204	4	2	62.8
2022-05-16 00:40	66.4	12.0	0.0	29.65	96.7	63.3	0.00	189	4	1	62.4
2022-05-16 00:50	66.2	11.8	0.0	29.65	96.9	63.1	0.00	170	4	1	62.2
2022-05-16 01:00	66.0	11.8	0.0	29.65	97.1	63.0	0.00	170	2	0	62.1
2022-05-16 01:10	66.0	11.8	0.0	29.65	97.1	62.6	0.00	170	0	0	61.8
2022-05-16 01:20	66.0	11.8	0.0	29.64	97.6	62.2	0.00	170	0	0	61.6
2022-05-16 01:30	65.8	11.8	0.0	29.64	97.5	62.4	0.00	183	0	0	61.7
2022-05-16 01:40	65.8	11.8	0.0	29.64	98.1	62.1	0.00	218	2	0	61.5
2022-05-16 01:50	65.7	11.8	0.0	29.64	98.6	62.1	0.00	218	0	0	61.7
2022-05-16 02:00	65.7	11.8	0.0	29.63	99.1	61.5	0.00	218	0	0	61.3
2022-05-16 02:10	65.5	11.8	0.0	29.63	99.5	61.2	0.00	218	0	0	61.0
2022-05-16 02:20	65.5	11.8	0.0	29.63	99.8	60.8	0.00	218	0	0	60.7
2022-05-16 02:30	65.3	11.9	0.0	29.62	99.8	60.3	0.00	218	0	0	60.2
2022-05-16 02:40	65.1	11.8	0.0	29.62	99.8	59.4	0.00	218	0	0	59.3
2022-05-16 02:50	65.1	11.8	0.0	29.61	99.8	59.4	0.00	218	0	0	59.3
2022-05-16 03:00	64.9	11.8	0.0	29.61	99.8	58.8	0.00	218	0	0	58.8
2022-05-16 03:10	64.9	11.8	0.0	29.61	99.8	58.6	0.00	218	0	0	58.6
2022-05-16 03:20	64.9	11.8	0.0	29.61	99.8	58.3	0.00	218	0	0	58.2
2022-05-16 03:30	64.8	11.8	0.0	29.61	99.8	57.2	0.00	218	0	0	57.1
2022-05-16 03:40	64.6	11.8	0.0	29.60	99.8	57.0	0.00	218	0	0	57.0
2022-05-16 03:50	64.6	11.8	0.0	29.60	99.8	57.0	0.00	218	0	0	57.0
2022-05-16 04:00	64.6	11.9	0.0	29.60	99.8	57.2	0.00	218	0	0	57.1
2022-05-16 04:10	64.4	11.8	0.0	29.59	99.8	56.7	0.00	218	0	0	56.6
2022-05-16 04:20	64.2	11.8	0.0	29.59	99.8	55.8	0.00	218	0	0	55.7
2022-05-16 04:30	64.2	11.8	0.0	29.59	99.8	55.2	0.00	218	0	0	55.2
2022-05-16 04:40	64.0	11.8	0.0	29.59	99.8	56.1	0.00	218	0	0	56.1
2022-05-16 04:50	63.9	11.8	0.0	29.59	99.8	55.4	0.00	218	0	0	55.3
2022-05-16 05:00	63.9	11.9	0.0	29.58	99.8	55.2	0.00	218	0	0	55.2
2022-05-16 05:10	63.9	11.9	0.0	29.58	99.8	55.6	0.00	218	0	0	55.5
2022-05-16 05:20	63.7	11.8	0.0	29.59	99.8	55.6	0.00	218	0	0	55.5
2022-05-16 05:30	63.7	11.8	0.0	29.59	99.8	54.5	0.00	218	0	0	54.4
2022-05-16 05:40	63.5	11.8	10.0	29.59	99.8	54.3	0.00	218	0	0	54.3
2022-05-16 05:50	63.3	11.8	28.0	29.59	99.8	54.7	0.00	218	0	0	54.6
2022-05-16 06:00	63.3	11.8	55.0	29.59	99.8	55.4	0.00	218	0	0	55.3
2022-05-16 06:10	63.1	11.8	87.0	29.59	99.8	55.8	0.00	218	0	0	55.7
2022-05-16 06:20	63.1	11.9	122.0	29.60	99.8	55.8	0.00	218	0	0	55.7
2022-05-16 06:30	63.1	11.8	153.0	29.59	99.8	55.9	0.00	218	0	0	55.9
2022-05-16 06:40	63.0	11.9	224.0	29.60	99.8	57.0	0.00	218	0	0	57.0
2022-05-16 06:50	63.0	11.8	334.0	29.61	99.8	58.6	0.00	218	0	0	58.6
2022-05-16 07:00	63.0	11.8	401.0	29.61	99.8	59.5	0.01	218	0	0	59.5
2022-05-16 07:10	63.0	11.8	413.0	29.61	99.8	60.4	0.00	218	0	0	60.4
2022-05-16 07:20	63.0	11.8	488.0	29.62	99.8	60.6	0.00	218	0	0	60.6
2022-05-16 07:30	63.0	11.8	589.0	29.61	99.8	61.2	0.00	221	2	0	61.1
2022-05-16 07:40	63.0	11.8	644.0	29.61	99.8	61.7	0.00	225	2	1	61.6
2022-05-16 07:50	63.0	11.8	692.0	29.62	99.8	62.8	0.00	252	4	1	62.7
2022-05-16 08:00	63.0	11.8	799.0	29.62	99.2	63.9	0.00	265	2	1	63.6
2022-05-16 08:10	63.1	11.8	877.0	29.61	96.9	65.1	0.00	266	2	0	64.2
2022-05-16 08:20	63.1	11.8	890.0	29.62	95.6	66.4	0.00	259	6	2	65.1
2022-05-16 08:30	63.1	11.8	1017.0	29.62	95.5	66.2	0.00	259	6	2	64.9
2022-05-16 08:40	63.1	11.8	998.0	29.62	94.3	66.9	0.00	259	6	2	65.2
2022-05-16 08:50	63.3	11.8	1112.0	29.62	93.9	67.5	0.00	273	5	2	65.6
2022-05-16 09:00	63.3	11.8	1282.0	29.62	92.1	68.5	0.00	278	4	1	66.2
2022-05-16 09:10	63.5	11.8	1402.0	29.61	90.8	69.3	0.00	282	5	2	66.5
2022-05-16 09:20	63.7	11.8	1316.0	29.62	88.1	70.3	0.00	242	4	1	66.6
2022-05-16 09:30	63.7	11.8	964.0	29.61	91.2	69.6	0.00	264	5	2	66.9
2022-05-16 09:40	63.9	11.8	1263.0	29.61	90.7	70.2	0.00	271	5	2	67.3
2022-05-16 09:50	63.9	11.8	1030.0	29.60	89.2	70.3	0.00	280	5	2	67.0
2022-05-16 10:00	64.0	11.7	1505.0	29.60	88.6	71.1	0.00	279	5	2	67.5
2022-05-16 10:10	64.2	11.7	1800.0	29.61	86.9	72.3	0.00	282	6	2	68.2
2022-05-16 10:20	64.2	11.5	1574.0	29.61	86.8	73.0	0.00	271	7	2	68.9
2022-05-16 10:30	64.6	11.5	1706.0	29.61	85.6	73.9	0.00	256	7	2	69.3
2022-05-16 10:40	64.8	11.5	1400.0	29.61	85.1	74.5	0.00	252	7	2	69.7
2022-05-16 10:50	64.9	11.5	1387.0	29.60	84.1	74.7	0.00	232	7	2	69.5
2022-05-16 11:00	65.1	11.5	1630.0	29.60	83.8	75.4	0.00	231	10	2	70.1
2022-05-16 11:10	65.3	11.5	2038.0	29.60	82.1	76.5	0.00	218	10	6	70.6
2022-05-16 11:20	65.7	11.5	1596.0	29.60	80.6	76.6	0.00	208	10	6	70.2
2022-05-16 11:30	65.8	11.5	1748.0	29.59	78.3	77.2	0.00	197	14	7	69.9
2022-05-16 11:40	66.0	11.5	1150.0	29.59	76.4	77.2	0.00	203	10	6	69.2
2022-05-16 11:50	66.2	11.5	986.0	29.59	75.4	77.2	0.00	208	12	5	68.8
2022-05-16 12:00	66.4	11.5	1652.0	29.59	75.8	77.7	0.00	183	10	6	69.5
2022-05-16 12:10	66.6	11.4	2000.0	29.59	74.9	78.6	0.00	200	11	7	70.0
2022-05-16 12:20	66.7	11.4	1646.0	29.58	74.1	78.6	0.00	193	11	6	69.7
2022-05-16 12:30	66.9	11.4	2021.0	29.57	73.2	79.0	0.00	210	12	7	69.7
2022-05-16 12:40	67.1	11.3	1693.0	29.56	71.9	79.9	0.00	196	12	6	70.0
2022-05-16 12:50	67.3	11.4	793.0	29.55	72.2	78.4	0.00	180	9	7	68.7
2022-05-16 13:00	67.5	11.3	558.0	29.54	71.4	77.7	0.00	203	12	7	67.7
2022-05-16 13:10	67.6	11.3	338.0	29.53	70.6	76.8	0.00	196	12	7	66.5
2022-05-16 13:20	67.6	11.3	264.0	29.52	71.4	76.3	0.00	197	15	7	66.3
2022-05-16 13:30	67.6	11.3	208.0	29.50	73.6	75.6	0.00	193	12	7	66.5
2022-05-16 13:40	67.6	11.4	391.0	29.49	75.7	75.2	0.00	180	7	5	67.0
2022-05-16 13:50	67.6	11.4	561.0	29.49	78.8	75.2	0.00	196	6	4	68.2
2022-05-16 14:00	67.6	11.3	425.0	29.49	81.1	74.5	0.00	213	7	5	68.3
2022-05-16 14:10	67.6	11.4	295.0	29.48	86.3	72.5	0.02	220	14	7	68.2
2022-05-16 14:20	67.6	11.4	465.0	29.46	86.9	68.9	0.06	187	19	11	64.8
2022-05-16 14:30	67.6	11.5	1909.0	29.45	82.0	70.2	0.00	138	16	7	64.4
2022-05-16 14:40	67.6	11.5	1512.0	29.46	80.0	73.0	0.00	139	6	2	66.5
2022-05-16 14:50	67.6	11.7	1252.0	29.46	81.9	73.6	0.00	166	7	4	67.7
2022-05-16 15:00	67.6	11.5	1464.0	29.46	80.5	75.0	0.00	159	7	4	68.6
2022-05-16 15:10	67.6	11.5	623.0	29.45	79.7	74.8	0.00	187	7	5	68.1
2022-05-16 15:20	67.8	11.5	745.0	29.44	80.1	75.0	0.00	193	7	4	68.5
2022-05-16 15:30	67.8	11.5	742.0	29.43	79.4	75.9	0.00	196	12	5	69.1
2022-05-16 15:40	67.8	11.5	409.0	29.42	77.7	75.6	0.00	189	12	7	68.1
